Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),9.58,9.29,9.84,613.42,9.29,9.30,9.31,9.37,9.67,9.72,9.78,9.84,9.84,0.19
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.24,0.00,2.11,15.20,0.00,0.00,0.00,0.00,0.00,0.00,1.68,1.99,2.05,0.63
HTTP Connection Overhead (ms),0.24,0.00,2.11,15.20,0.00,0.00,0.00,0.00,0.00,0.00,1.68,1.99,2.05,0.63
HTTP Connection Reused (ratio),0.88,0.00,1.00,56.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33
HTTP Data Received (KB),34.30,33.96,34.40,2194.92,33.97,34.00,34.23,34.29,34.32,34.35,34.37,34.38,34.39,0.10
HTTP Data Sent (KB),0.60,0.51,0.69,38.60,0.52,0.54,0.56,0.59,0.60,0.63,0.65,0.66,0.68,0.04
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),13359.62,13001.96,13775.79,855015.73,13002.39,13003.61,13091.01,13173.32,13241.98,13665.42,13748.21,13757.19,13775.43,262.87
HTTP Receiving (ms),13109.06,12649.50,13532.71,838980.13,12667.44,12711.77,12760.01,12933.60,13043.50,13349.34,13479.28,13504.09,13524.42,258.72
HTTP Sending (ms),0.51,0.20,2.48,32.72,0.20,0.20,0.21,0.24,0.26,0.30,2.10,2.36,2.47,0.68
HTTP Total Time (ms),13359.86,13001.96,13775.79,855030.93,13002.39,13003.61,13091.01,13173.32,13241.98,13665.42,13748.21,13757.19,13775.43,263.07
HTTP Waiting (TTFB) (ms),250.05,144.04,475.92,16002.88,171.57,195.41,196.51,201.74,236.31,290.56,328.28,332.49,453.80,61.87
Input Sequence Length (tokens),120.00,120.00,120.00,7680.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,0.00
Inter Chunk Latency (ms),103.22,84.76,178.91,838979.34,91.25,94.09,94.90,96.33,98.40,105.05,120.12,131.08,139.66,11.54
Inter Token Latency (ms),103.22,99.60,106.56,6606.14,99.74,100.09,100.47,101.84,102.70,105.11,106.14,106.33,106.49,2.04
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),9.69,9.38,10.04,620.27,9.39,9.40,9.42,9.51,9.74,9.82,9.95,9.99,10.03,0.19
Prefill Throughput Per User (tokens/sec/user),503.03,250.96,819.53,32193.84,264.24,358.03,362.70,412.54,506.95,593.82,609.49,613.00,705.12,103.18
Request Latency (ms),13359.73,13002.06,13775.89,855022.95,13002.50,13003.70,13091.10,13173.41,13242.07,13665.52,13748.32,13757.28,13775.52,262.88
Time to First Output Token (ms),250.68,146.42,478.16,16043.61,172.69,195.76,196.89,202.08,236.71,290.88,330.86,335.17,454.81,62.18
Time to First Token (ms),250.68,146.42,478.16,16043.61,172.69,195.76,196.89,202.08,236.71,290.88,330.86,335.17,454.81,62.18
Time to Second Token (ms),119.60,93.13,162.04,7654.72,93.42,100.16,100.50,106.05,116.12,135.31,142.60,155.20,161.92,17.35

Metric,Value
Benchmark Duration (sec),107.05
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),76.53
Request Count,64.00
Request Throughput (requests/sec),0.60
Total Input Sequence Length (tokens),7680.00
Total Output Sequence Length (tokens),8192.00
Total Output Tokens (tokens),8192.00
Total Token Throughput (tokens/sec),148.27


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
